45 C
140, -3393155, -54241.4416, -115.264340
141, -3257410, -54241.8718, -115.265254
142, -3134553, -54242.3020, -115.266169
143, -3033090, -54242.7322, -115.267083
144, -2960668, -54243.1625, -115.267997
145, -2923281, -54243.5927, -115.268911
146, -2924524, -54244.0229, -115.269826
147, -2964999, -54244.4532, -115.270740
148, -3042057, -54244.8834, -115.271654
149, -3149994, -54245.3136, -115.272568
150, -3280742, -54245.7438, -115.273483
151, -3424942, -54246.1741, -115.274397
152, -3573217, -54246.6043, -115.275311
153, -3717386, -54247.0345, -115.276225
154, -3851305, -54247.4648, -115.277140
155, -3971240, -54247.8950, -115.278054
156, -4075674, -54248.3252, -115.278968
157, -4164689, -54248.7554, -115.279882
158, -4239115, -54249.1857, -115.280797
159, -4299725, -54249.6159, -115.281711
160, -4346738, -54250.0461, -115.282625
161, -4379757, -54250.4764, -115.283539
162, -4398114, -54250.9066, -115.284454
163, -4401459, -54251.3368, -115.285368
164, -4390359, -54251.7670, -115.286282
165, -4366720, -54252.1973, -115.287196
166, -4333931, -54252.6275, -115.288111
167, -4296684, -54253.0577, -115.289025
168, -4260528, -54253.4880, -115.289939
169, -4231250, -54253.9182, -115.290853
170, -4214189, -54254.3484, -115.291768
171, -4213597, -54254.7787, -115.292682
172, -4232147, -54255.2089, -115.293596
173, -4270624, -54255.6391, -115.294510
174, -4327868, -54256.0693, -115.295424
175, -4400929, -54256.4996, -115.296339
176, -4485448, -54256.9298, -115.297253
177, -4576190, -54257.3600, -115.298167
178, -4667657, -54257.7903, -115.299081
179, -4754686, -54258.2205, -115.299996
180, -4832904, -54258.6507, -115.300910
181, -4899019, -54259.0809, -115.301824
182, -4950877, -54259.5112, -115.302738
183, -4987334, -54259.9414, -115.303653
184, -5008000, -54260.3716, -115.304567
185, -5012914, -54260.8019, -115.305481
186, -5002242, -54261.2321, -115.306395
187, -4976021, -54261.6623, -115.307310
188, -4934022, -54262.0925, -115.308224
189, -4875770, -54262.5228, -115.309138
190, -4800716, -54262.9530, -115.310052
191, -4708555, -54263.3832, -115.310967
192, -4599612, -54263.8135, -115.311881
193, -4475201, -54264.2437, -115.312795
194, -4337857, -54264.6739, -115.313709
